year,source_ccode,target_ccode,tie
1920,2,20,0
1921,2,20,0
1922,2,20,0
1923,2,20,0
1924,2,20,0
1925,2,20,0
1926,2,20,0
1927,2,20,0
1928,2,20,0
1929,2,20,0
1930,2,20,0
1931,2,20,0
1932,2,20,0
1933,2,20,0
1934,2,20,0
1935,2,20,0
1936,2,20,0
1937,2,20,0
1938,2,20,0
1939,2,20,0
1940,2,20,0
1941,2,20,0
1942,2,20,1
1943,2,20,1
1944,2,20,1
1945,2,20,1
1946,2,20,0
1947,2,20,0
1948,2,20,0
1949,2,20,1
1950,2,20,1
1951,2,20,1
1952,2,20,1
1953,2,20,1
1954,2,20,1
1955,2,20,1
1956,2,20,1
1957,2,20,1
1958,2,20,1
1959,2,20,1
1960,2,20,1
1961,2,20,1
1962,2,20,1
1963,2,20,1
1964,2,20,1
1965,2,20,1
1966,2,20,1
1967,2,20,1
1968,2,20,1
1969,2,20,1
1970,2,20,1
1971,2,20,1
1972,2,20,1
1973,2,20,1
1974,2,20,1
1975,2,20,1
1976,2,20,1
1977,2,20,1
1978,2,20,1
1979,2,20,1
1980,2,20,1
1981,2,20,1
1982,2,20,1
1983,2,20,1
1984,2,20,1
1985,2,20,1
1986,2,20,1
1987,2,20,1
1988,2,20,1
1989,2,20,1
1990,2,20,1
1991,2,20,1
1992,2,20,1
1993,2,20,1
1994,2,20,1
1995,2,20,1
1996,2,20,1
1997,2,20,1
1998,2,20,1
1999,2,20,1
2000,2,20,1
2001,2,20,1
2002,2,20,1
2003,2,20,1
2004,2,20,1
2005,2,20,1
2006,2,20,1
2007,2,20,1
2008,2,20,1
2009,2,20,1
2010,2,20,1
2011,2,20,1
2012,2,20,1
2013,2,20,1
2014,2,20,1
2015,2,20,1
2016,2,20,1
2017,2,20,1
2018,2,20,1
1973,2,31,0
1974,2,31,0
1975,2,31,0
1976,2,31,0
1977,2,31,0
1978,2,31,0
1979,2,31,0
1980,2,31,0
1981,2,31,0
1982,2,31,1
1983,2,31,1
1984,2,31,1
1985,2,31,1
1986,2,31,1
1987,2,31,1
1988,2,31,1
1989,2,31,1
1990,2,31,1
