year,source_ccode,target_ccode,tie
1920,2,20,1347
1921,2,20,778
1922,2,20,867
1923,2,20,1014
1924,2,20,895
1925,2,20,1082
1926,2,20,1084
1927,2,20,1193
1928,2,20,1355
1929,2,20,1349
1931,2,20,617
1932,2,20,372
1933,2,20,393
1934,2,20,409
1935,2,20,599
1936,2,20,742
1937,2,20,890
1938,2,20,683
1948,2,20,3832
1949,2,20,3844
1950,2,20,4263
1951,2,20,5407
1952,2,20,5955
1953,2,20,6280
1954,2,20,5936
1955,2,20,6745
1956,2,20,7818
1957,2,20,7793
1958,2,20,7323
1959,2,20,8057
1960,2,20,7599
1961,2,20,7818
1962,2,20,8406
1963,2,20,8705
1964,2,20,9891
1965,2,20,11411
1966,2,20,13929
1967,2,20,15794
1968,2,20,18792
1969,2,20,21544
1970,2,20,22192
1971,2,20,25404
1972,2,20,30171
1973,2,20,36926
1974,2,20,47590
1975,2,20,48135
1976,2,20,56307
1977,2,20,61689
1978,2,20,68632
1979,2,20,81438
1980,2,20,87320
1981,2,20,96573
1982,2,20,89164
1983,2,20,101173
1984,2,20,124809
1985,2,20,128892
1986,2,20,129886
1987,2,20,137101
1988,2,20,158925
1989,2,20,171554
1990,2,20,176558
1991,2,20,176264
1992,2,20,188515
1993,2,20,210152
1994,2,20,241547
1995,2,20,268190
1996,2,20,285834
1997,2,20,316583
1998,2,20,327102
1999,2,20,356675
2000,2,20,398259
2001,2,20,375343
2002,2,20,366923
2003,2,20,387282
2004,2,20,436065
2005,2,20,487304
2006,2,20,518932
2007,2,20,544015
2008,2,20,575191
2009,2,20,408774
2010,2,20,497605
2011,2,20,566909
2012,2,20,586205
2013,2,20,602989
2014,2,20,622221
1973,2,31,491
1974,2,31,1258
1975,2,31,1277
1976,2,31,915
1977,2,31,1317
1978,2,31,1211
1979,2,31,1866
1980,2,31,1920
1981,2,31,1791
1982,2,31,1735
1983,2,31,2450
1984,2,31,1978
1985,2,31,1519
1986,2,31,1303
1987,2,31,1427
1988,2,31,1327
1989,2,31,1491
1990,2,31,1407
1991,2,31,1281
1992,2,31,1391
1993,2,31,1150
1994,2,31,974
1995,2,31,897
1996,2,31,976
1997,2,31,1653
1998,2,31,1050
1999,2,31,1130
2000,2,31,1436
2001,2,31,1452
2002,2,31,1551
2003,2,31,1693
2004,2,31,1967
2005,2,31,2672
2006,2,31,2992
2007,2,31,3243
2008,2,31,3662
2009,2,31,3546
2010,2,31,4361
2011,2,31,4566
2012,2,31,4544
2013,2,31,4718
2014,2,31,4232
1902,2,40,74
1903,2,40,86
1904,2,40,107
1905,2,40,138
1906,2,40,136
1909,2,40,172
1910,2,40,186
1911,2,40,195
1912,2,40,203
1913,2,40,198
1919,2,40,697
1920,2,40,557
1921,2,40,418
1922,2,40,389
1923,2,40,558
1924,2,40,554
1925,2,40,452
1926,2,40,403
1927,2,40,417
1928,2,40,332
1929,2,40,334
1930,2,40,214
1931,2,40,136
1932,2,40,86
1933,2,40,81
1934,2,40,120
1935,2,40,159
1936,2,40,193
1937,2,40,237
1938,2,40,180
1939,2,40,183
1940,2,40,190
1941,2,40,307
1942,2,40,294
1943,2,40,426
1944,2,40,554
1945,2,40,534
1946,2,40,596
1947,2,40,1002
1948,2,40,816
1949,2,40,768
1950,2,40,884
1951,2,40,1015
1952,2,40,985
1953,2,40,897
1954,2,40,836
1955,2,40,923
1956,2,40,1032
1957,2,40,1162
1958,2,40,1130
1959,2,40,957
1960,2,40,614
1961,2,40,51
1962,2,40,20
1963,2,40,6
1964,2,40,0
1965,2,40,0
1966,2,40,0
1967,2,40,0
1968,2,40,0
1969,2,40,0
1970,2,40,0
1971,2,40,0
1972,2,40,0
1973,2,40,0
1974,2,40,0
1975,2,40,0
1976,2,40,0
1977,2,40,2
1978,2,40,0
1979,2,40,0
1980,2,40,0
1981,2,40,1
1982,2,40,3
1983,2,40,1
1984,2,40,1
1985,2,40,1
1986,2,40,2
1987,2,40,1
1988,2,40,4
1989,2,40,3
1990,2,40,2
1991,2,40,1
1992,2,40,1
1993,2,40,3
1994,2,40,5
1995,2,40,6
1996,2,40,6
1997,2,40,5
1998,2,40,4
1999,2,40,7
2000,2,40,3
2001,2,40,7
2002,2,40,159
2003,2,40,287
2004,2,40,440
2005,2,40,398
2006,2,40,382
2007,2,40,492
2008,2,40,790
2009,2,40,587
2010,2,40,408
2011,2,40,387
2012,2,40,512
2013,2,40,394
2014,2,40,329
1913,2,41,10
1934,2,41,5
1935,2,41,5
1936,2,41,7
1937,2,41,7
1938,2,41,7
1939,2,41,8
1940,2,41,9
1941,2,41,13
1942,2,41,11
1943,2,41,15
1944,2,41,21
1945,2,41,26
1946,2,41,30
1947,2,41,45
1948,2,41,39
1949,2,41,44
1950,2,41,52
1951,2,41,67
1952,2,41,69
1953,2,41,48
1954,2,41,57
1955,2,41,44
1956,2,41,45
1957,2,41,45
1958,2,41,50
1959,2,41,36
1960,2,41,42
1961,2,41,40
1962,2,41,48
1963,2,41,49
1964,2,41,48
1965,2,41,44
1966,2,41,41
1967,2,41,45
1968,2,41,48
1969,2,41,53
1970,2,41,58
1971,2,41,69
1972,2,41,83
1973,2,41,100
1974,2,41,171
1975,2,41,189
1976,2,41,269
1977,2,41,282
1978,2,41,301
1979,2,41,357
1980,2,41,453
1981,2,41,483
1982,2,41,654
1983,2,41,754
1984,2,41,855
1985,2,41,779
1986,2,41,579
1987,2,41,666
1988,2,41,578
1989,2,41,542
1990,2,41,660
1991,2,41,728
1992,2,41,349
1993,2,41,405
1994,2,41,382
1995,2,41,744
1996,2,41,672
1997,2,41,747
1998,2,41,884
1999,2,41,975
2000,2,41,584
2001,2,41,519
2002,2,41,491
2003,2,41,555
2004,2,41,693
2005,2,41,1215
2006,2,41,1398
2007,2,41,1282
2008,2,41,1503
2009,2,41,1437
2010,2,41,1904
2011,2,41,1928
2012,2,41,1958
2013,2,41,2223
2014,2,41,2312
1911,2,42,11
1912,2,42,12
1913,2,42,12
1924,2,42,22
1925,2,42,25
1926,2,42,23
1927,2,42,30
1928,2,42,23
1929,2,42,18
1930,2,42,13
1931,2,42,9
1932,2,42,7
1933,2,42,7
1934,2,42,9
1935,2,42,10
1936,2,42,10
1937,2,42,12
1938,2,42,12
1939,2,42,13
1940,2,42,12
1941,2,42,19
1942,2,42,17
1943,2,42,24
1944,2,42,31
1945,2,42,33
1946,2,42,49
1947,2,42,79
1948,2,42,82
1949,2,42,62
1950,2,42,76
1951,2,42,95
1952,2,42,135
1953,2,42,122
1954,2,42,137
1955,2,42,138
1956,2,42,143
1957,2,42,145
1958,2,42,158
1959,2,42,161
1960,2,42,171
1961,2,42,130
1962,2,42,193
1963,2,42,240
1964,2,42,255
1965,2,42,173
1966,2,42,192
1967,2,42,249
1968,2,42,286
1969,2,42,299
1970,2,42,338
1971,2,42,349
1972,2,42,429
1973,2,42,556
1974,2,42,916
1975,2,42,1111
1976,2,42,980
1977,2,42,1081
1978,2,42,987
1979,2,42,1224
1980,2,42,1530
1981,2,42,1646
1982,2,42,1204
1983,2,42,1360
1984,2,42,1540
1985,2,42,1550
1986,2,42,1760
1987,2,42,1928
1988,2,42,2202
1989,2,42,2615
1990,2,42,2735
1991,2,42,3094
1992,2,42,3551
1993,2,42,3945
1994,2,42,4268
1995,2,42,4396
1996,2,42,4337
1997,2,42,9171
1998,2,42,10005
1999,2,42,10161
2000,2,42,10796
2001,2,42,9919
2002,2,42,9738
2003,2,42,9105
2004,2,42,9064
2005,2,42,9727
2006,2,42,10665
2007,2,42,10820
2008,2,42,10977
2009,2,42,8962
2010,2,42,10508
2011,2,42,12012
2012,2,42,12143
2013,2,42,11658
2014,2,42,13269
1962,2,51,170
1963,2,51,180
1964,2,51,212
1965,2,51,226
1966,2,51,261
1967,2,51,289
1968,2,51,295
1969,2,51,345
1970,2,51,427
1971,2,51,402
1972,2,51,423
1973,2,51,446
1974,2,51,582
1975,2,51,758
1976,2,51,685
1977,2,51,693
1978,2,51,846
1979,2,51,722
1980,2,51,790
1981,2,51,935
1982,2,51,813
1983,2,51,815
1984,2,51,960
1985,2,51,776
1986,2,51,813
1987,2,51,1032
1988,2,51,1179
1989,2,51,1488
1990,2,51,1517
1991,2,51,1542
1992,2,51,1676
1993,2,51,1990
1994,2,51,1963
1995,2,51,2458
1996,2,51,2530
1997,2,51,2339
1998,2,51,2332
1999,2,51,2179
2000,2,51,2230
2001,2,51,2040
2002,2,51,1986
2003,2,51,2143
2004,2,51,1966
2005,2,51,2515
2006,2,51,2850
2007,2,51,3315
2008,2,51,4093
2009,2,51,2397
2010,2,51,2247
2011,2,51,2784
2012,2,51,2911
2013,2,51,2641
2014,2,51,2677
1962,2,52,135
1963,2,52,180
1964,2,52,183
1965,2,52,234
1966,2,52,241
1967,2,52,259
1968,2,52,292
1969,2,52,318
1970,2,52,356
1971,2,52,361
1972,2,52,422
1973,2,52,575
1974,2,52,1602
1975,2,52,1580
1976,2,52,1974
1977,2,52,2126
1978,2,52,1902
1979,2,52,2167
1980,2,52,3291
1981,2,52,3063
1982,2,52,2925
1983,2,52,2421
1984,2,52,2149
1985,2,52,1903
1986,2,52,1412
1987,2,52,1367
1988,2,52,1191
1989,2,52,1454
1990,2,52,1578
1991,2,52,1576
1992,2,52,1524
1993,2,52,1419
1994,2,52,1763
1995,2,52,1932
1996,2,52,1924
1997,2,52,2808
1998,2,52,2425
1999,2,52,2511
2000,2,52,3161
2001,2,52,3913
2002,2,52,3906
2003,2,52,5880
2004,2,52,7594
2005,2,52,9925
2006,2,52,10598
2007,2,52,11299
2008,2,52,11947
2009,2,52,7812
2010,2,52,9139
2011,2,52,10952
2012,2,52,11282
2013,2,52,9497
2014,2,52,8647
1966,2,53,18
1967,2,53,22
1968,2,53,25
1969,2,53,27
1970,2,53,39
1971,2,53,32
1972,2,53,36
1973,2,53,48
1974,2,53,74
1975,2,53,77
1976,2,53,88
1977,2,53,105
1978,2,53,132
1979,2,53,196
1980,2,53,278
1981,2,53,282
1982,2,53,321
1983,2,53,495
1984,2,53,572
1985,2,53,458
1986,2,53,347
1987,2,53,233
1988,2,53,256
1989,2,53,285
1990,2,53,268
1991,2,53,286
1992,2,53,243
1993,2,53,254
1994,2,53,284
1995,2,53,365
1996,2,53,403
1997,2,53,495
1998,2,53,465
1999,2,53,514
2000,2,53,521
2001,2,53,490
2002,2,53,476
2003,2,53,498
2004,2,53,558
2005,2,53,628
2006,2,53,647
2007,2,53,542
2008,2,53,590
2009,2,53,479
2010,2,53,482
2011,2,53,531
2012,2,53,560
2013,2,53,555
2014,2,53,678
1978,2,54,4
1979,2,54,3
1980,2,54,2
1981,2,54,0
1982,2,54,17
1983,2,54,13
1984,2,54,18
1985,2,54,16
1986,2,54,16
1987,2,54,17
1988,2,54,31
1989,2,54,41
1990,2,54,47
1991,2,54,40
1992,2,54,39
1993,2,54,41
1994,2,54,41
1995,2,54,46
1996,2,54,61
1997,2,54,66
1998,2,54,63
1999,2,54,64
2000,2,54,63
2001,2,54,54
2002,2,54,55
2003,2,54,44
2004,2,54,43
2005,2,54,71
2006,2,54,78
2007,2,54,94
2008,2,54,119
2009,2,54,87
2010,2,54,82
2011,2,54,83
2012,2,54,88
2013,2,54,88
2014,2,54,73
1974,2,55,1
1975,2,55,3
1976,2,55,3
1977,2,55,0
1978,2,55,5
1979,2,55,7
1980,2,55,11
1981,2,55,11
1982,2,55,12
1983,2,55,11
1984,2,55,15
1985,2,55,18
1986,2,55,22
1987,2,55,25
1988,2,55,31
1989,2,55,38
1990,2,55,41
1991,2,55,46
1992,2,55,34
1993,2,55,53
1994,2,55,50
1995,2,55,60
1996,2,55,69
1997,2,55,78
1998,2,55,94
1999,2,55,106
2000,2,55,137
2001,2,55,91
2002,2,55,69
2003,2,55,83
2004,2,55,82
2005,2,55,97
2006,2,55,88
2007,2,55,101
