year,source_ccode,target_ccode,tie
1920,2,20,-135553.08474524476
1921,2,20,-136584.5844361787
1922,2,20,-136672.12485967024
1923,2,20,-136503.91712893022
1924,2,20,-136659.75508855245
1925,2,20,-136451.5693656089
1926,2,20,-136553.002226848
1927,2,20,-136403.92196153864
1928,2,20,-136308.98840428243
1929,2,20,-136311.939094431
1931,2,20,-137012.34854181577
1932,2,20,-137262.7058114171
1933,2,20,-137247.56506819406
1934,2,20,-137301.50331527993
1935,2,20,-137027.447987304
1936,2,20,-136949.98327766155
1937,2,20,-136876.67964408273
1938,2,20,-137033.64769837158
1948,2,20,-135109.616681788
1949,2,20,-135065.27772160954
1950,2,20,-134621.6221334245
1951,2,20,-133508.70809937027
1952,2,20,-132884.68589342872
1953,2,20,-132597.27279565542
1954,2,20,-132944.37044608506
1955,2,20,-132103.81510079643
1956,2,20,-131091.52248040336
1957,2,20,-131134.50104083415
1958,2,20,-131610.40660982652
1959,2,20,-130882.58697416764
1960,2,20,-131583.67306587857
1961,2,20,-131381.9193152425
1962,2,20,-130865.23105487364
1963,2,20,-130592.30007570365
1964,2,20,-129433.58597023212
1965,2,20,-127923.95445966383
1966,2,20,-125441.23179091178
1967,2,20,-123579.45872721224
1968,2,20,-120599.55076743464
1969,2,20,-117849.14471848783
1970,2,20,-117218.50684856938
1971,2,20,-114026.05556684281
1972,2,20,-109265.82671873982
1973,2,20,-102535.07016024075
1974,2,20,-91906.80786638454
1975,2,20,-91396.37295418838
1976,2,20,-83239.16816835344
1977,2,20,-77875.06044470161
1978,2,20,-70936.9279964031
1979,2,20,-58165.14312039458
1980,2,20,-52321.951931268675
1981,2,20,-43094.95182324012
1982,2,20,-50493.3055098505
1983,2,20,-38482.379331392556
1984,2,20,-14864.151680179755
1985,2,20,-10790.24882354791
1986,2,20,-9810.480387031508
1987,2,20,-2632.1336244133417
1988,2,20,19159.184831135703
1989,2,20,31765.522093572305
1990,2,20,36744.67661878411
1991,2,20,36427.30813514494
1992,2,20,48647.58986234703
1993,2,20,70258.51667552887
1994,2,20,101590.00292813557
1995,2,20,128163.92534155192
1996,2,20,145775.99298363482
1997,2,20,176500.0701543779
1998,2,20,187012.1464967166
1999,2,20,216538.11274507063
2000,2,20,258021.24134967985
2001,2,20,235120.58892277098
2002,2,20,226683.99617511273
2003,2,20,246965.3511992399
2004,2,20,295630.9941881697
2005,2,20,346782.2490136026
2006,2,20,378296.01936757425
2007,2,20,403246.1828688708
2008,2,20,434281.96493555664
2009,2,20,268105.9536870414
2010,2,20,356764.29510597594
2011,2,20,425867.85294618935
2012,2,20,445156.31782049104
2013,2,20,461923.94282049104
2014,2,20,481143.74826741836
1973,2,31,-2827.3329021808586
1974,2,31,-2096.0706083246314
1975,2,31,-2111.6356961284855
